Code,Section,Section_es,Section_fr,en,es,fr
Duties1,Duties assigned to the organization,¿Qué tipo de tareas se han asignado a la organización?,Quels types de missions ont été affectés à votre organisme?,Job brokerage / job placement,Intermediación laboral/Colocación laboral,Services de placement
Duties2,Duties assigned to the organization,,,Labour market information/ statistics,Información/Estadísticas del mercado laboral,Informations/statistiques sur les marchés du travail
Duties3,Duties assigned to the organization,,,Active labour market policies,Políticas activas de mercado laboral,Politiques actives du marché du travail
Duties4,Duties assigned to the organization,,,Management of unemployment benefits,Gestión de beneficios por desempleo,Gestion des prestations de chômage
Duties5,Duties assigned to the organization,,,Administration of other benefits,Administración de otros beneficios,Administration d'autres allocation
Duties6,Duties assigned to the organization,,,Labour migration,Migración laboral,Migration de travail
Placement1,Information about vacancies,Información sobre vacantes,Informations avec les de mandeurs d’emploi,Direct job offers/active offer of vacancies by PES staff,Ofertas directas de empleo/Oferta activa de  vacantes por personal del SEP,Offres d'emplois directes/ offre active de postes vacants par le personnel des |SPE
Placement2,Information about vacancies,,,Placement staff uses computer-based data bank with the registered job vacancies, Personal de colocación utiliza banco de datos computarizado con las vacantes registradas,Le personnel utilize une base de données informatisée des postes vacants enregistrés
Placement3,Information about vacancies,,,Placement staff uses computer-based data bank of the registered jobseekers,Personal de colocación utiliza banco de datos computarizado para los solicitantes registrados,Le personnel utilize une base des données informatisée des demandeurs d'emplois enregistrés
Placement4,Information about vacancies,,,Self service access to job offers displayed in local offices or sub units,Acceso autoservicio a ofertas laborales en oficinas locales o subunidades,Accés em libre service aux offres d'emplois affichés dans les agences ou antennes locales
Placement5,Information about vacancies,,,Self-service facilities: Internet based PES vacancies bank,Instalaciones autoservicio: banco de vacantes del SEP con base en Internet,Outils em libre service: Base de données em ligne des postes vacants des SPE
Placement6,Information about vacancies,,,Internet based PES vacancies and registered users bank;  users may themselves process and change their  profile,Vacantes del SEP con base en Internet y banco de usuarios registrados; los usuarios pueden procesar y cambiar su perfil,Base des données em ligne des postes vacants des SPE et des utilisateurs enregistrés; les utilisateurs peuvent traiter et modifier eux-mêmes leur profil
Profiling1,Services for profiling jobseekers,Servicios para perfilar los demandantes de empleo,Services destinés aux profiler demandeurs d’emploi,Systematic assessment of chances to labour market integration (profiling),Evaluación sistemática de chances de integración al mercado laboral (perfilado),Evaluation systématique des chances d'integration au marché du travail(établissement de profils)
Profiling2,Services for profiling jobseekers,,,If profiling is applied: profiling based only on counsellor/ placement officer’s assessment,Si se aplica perfilado: perfil basado solo en evaluación del asesor/agente de colocación,Si l'établissement de profils s'applique: celui-ci repose uniquemenbt sur l'évaluation réalisée parle conseiller/responsable des pacements
Profiling3,Services for profiling jobseekers,,,If profiling is applied: only statistical profiling based on formal models and technical (IT) devices,Si se aplica perfilado: perfiles basados solamente en modelos oficiales y medios tecnológicos (informáticos),Si l'établissement de profils s'applique: établissement de profilks uniquement fondés sur des moèles officiels et des outils techniques(Informatiques)
Profiling4,Services for profiling jobseekers,,,If profiling is applied: Mixed type of profiling based on placement officer’s assessment supported by technical devices ,Si se aplica perfilado: tipos mixtos de perfiles basados en evaluación del agente de colocación con el apoyo de medios tecnológicos,Si l'établissement de profils s'applique: type mixte fondé sur une évaluation par le responsable des placements et étayée par des outils techniques
JSearch1,Job search support to jobseekers,Servicios de apoyo a los buscadores de empleo,Services suivants afin de ouffrir un soutien de recherche d’emploi aux demandeurs d’emploi,Personal job search interviews and/or assistance: information for searching and finding vacancies in PES local offices/ local agencies,Entrevistas o apoyo personales en la búsqueda de empleo: información para buscar y encontrar vacantes en las oficinas/  agencias locales del SEP,Entretiens personnels pour la recherche d'emploiset/ ou asssitance: informations pour la recherche dee poste de vacants dans les bureaux locaux/agences locales des SPE
JSearch2,Job search support to jobseekers,,,Callcenter services for jobseekers,Servicio de call center para los solicitantes de empleo,Services de centre d'appels pour les demandeurs d'emplois
JSearch3,Job search support to jobseekers,,,"Internet information on job search ( practical advices : cv writing , cover letter, presentation etc.)","Información en Internet sobre búsquedas laborales (sugerencias prácticas: redacción de cv, carta de presentación, etc.)","Informations em ligne sur la recherche d'emplois(conseilks pratiques: rédaction de CV, lettre d'accompagnement, présentation,etc)"
JSearch4,Job search support to jobseekers,,,Individual action plans/ reintegration agreements that define job search activities and targets,Planes de acción/acuerdos de reintegro individuales que definen las actividades y objetivos de búsqueda,Plans d'action individuelks/ accords de réintégration qui définissent les activités et les objectifs de recherche d'emplois
JSearch5,Job search support to jobseekers,,,Direct (in-house) provision of applicants training ,Oferta de capacitación directa (en casa) para los solicitantes,Dispense directe (em internet) de formations aux demandeurs d'emplois
JSearch6,Job search support to jobseekers,,,Referral to externally provided applicants training,Derivación de solicitantes para que reciban capacitación proporcionada en forma externa,Orientation vers des foprmations aux demandeurs d'emplois dispensées à l'extérieur
JSearch7,Job search support to jobseekers,,,"Referral to specialised placement agencies/ providers for personalized, special services",Derivación a agencias de empleo/ proveedores especializados para servicios personalizados/especiale,"Orientation vers des agences de placement spécialisées/prestataires de services pesonnalisées, spécifiques"
Registration1,Registration of open vacancies for employers,Registro de vacantes abiertas por parte de los empleadores,Soutien de recherche d’emploi aux demandeurs d’emploi,Registration at PES office,Registro en las oficinas del SEP,Enregistrement dans les bureaux des SPE
Registration2,Registration of open vacancies for employers,,,Registration by telephone -Callcenter,Registro telefónico mediante un call center,Enregistrement par teléphone - Centre d'appels
Registration3,Registration of open vacancies for employers,,,Registration by telephone -through placement officer,Registro telefónico a través del agente de colocación,Enregistrement par teléphone - via le responsable des placements
Registration4,Registration of open vacancies for employers,,,Registration by post,Registro por correo postal,Enregistrement par courrier
Registration5,Registration of open vacancies for employers,,,Registration by email,Registro por correo electrónico,Enregistrement par courriel
Registration6,Registration of open vacancies for employers,,,Registration by Internet,Registro por Internet,Enregitrement par Internet
Access1,Sharing information about applicants with employer,Compartir información con los empleadores sobre los solicitantes de empleo,Partager des informations sur les candidats avec les employeurs,Access to applicants data bank (incl. contact information) at PES offices,Acceso de los solicitantes a un banco de datos (incluida información de contacto) en las oficinas del SPE,Accés à la banque de données des candidatts(y compris coordonnées de contact dans les bureaux des SPE
Access2,Sharing information about applicants with employer,,,Employer has to contact the responsible PES officer to refer to the applicant,El empleador debe contactar al agente del SEP responsable para que lo derive al postulante,L'émployeur doit passer par le responsable des SPE pour s'adresser au candidat
Access3,Sharing information about applicants with employer,,,Internet access to applicants/CV data bank with applicants’ contact information,Acceso a Internet para postulantes/banco de datos de cv con información de contacto de los postulantes,Accés Internet à la banque de données des candidats/CV avec les coordonnées des candidats
Access4,Sharing information about applicants with employer,,,Employer can contact the applicant directly ( anymous info),El empleador puede contactar al postulante directamente (información anónima),L'empolyeur peut contacter le candidat directement(Info anonyme)
Recruit1,Personal support services for recruitment,Servicios de apoyo personal para la contratación por parte de los empleadores,Services d’assistance personnelle pour le recrutement destinés aux employeurs,Personal support services for recruitment  (eye-to-eye) contact at PES office or employer’s site,Servicios de apoyo personal para el reclutamiento por contacto cara a cara en las oficinas del SPE o a través del sitio del  empleador,Service d'assitance personelle au recutement par contact(personnel) dans les SPE ou sur le site de l'employeur
Recruit2,Personal support services for recruitment,,,Personal support services for recruitment  by telephone -through placement officer,Servicios de apoyo personal para el reclutamiento por teléfono a través del agente de colocación,Service d'assitance personnelle au recrutement par teléphone - via le responsable des placements
Recruit3,Personal support services for recruitment,,,Personal support services for recruitment by telephone -callcenter,Servicios de apoyo personal para el reclutamiento por teléfono a través de un call center,Service d'assitance personnelle au recrutement par teléphone/ centre d'appels
Recruit4,Personal support services for recruitment,,,Personal support services for recruitment by email/online,Servicios de apoyo personal para el reclutamiento por e-mail o por Internet,Service d'assitance personnelle au recrutement par e-meil/ en ligne
Special1,Special services for employers,Servicios  especiales para empleadores,Services destinés aux employeurs,(Pre-)selection of suitable candidates and proposal to employer by the PES staff,(Pre)selección de candidatos adecuados y propuesta al empleador por parte del personal del SEP,(Pré) selection des candidats compêtents et proposition à l'empoyeur par le personnel des SPE
