Country,CountryCode,Continent,Duties1,Duties2,Duties3,Duties4,Duties5,Duties6,Placement1,Placement2,Placement3,Placement4,Placement5,Placement6,Profiling1,Profiling2,Profiling3,Profiling4,JSearch1,JSearch2,JSearch3,JSearch4,JSearch5,JSearch6,JSearch7,Registration1,Registration2,Registration3,Registration4,Registration5,Registration6,Access1,Access2,Access3,Access4,Recruit1,Recruit2,Recruit3,Recruit4,Special1,Special2,Special3,Special4,Special5,Special6,Special7,Information1,Information2,Information3,Information4,Information5,Information6,Information7,Information8,Information9,Policies1,Policies2,Policies3,Policies4,Policies5,Policies6,Policies7,Policies8,Policies9,Targets1,Targets2,Targets3,Targets4,Targets5,Targets6,Targets7,Targets8,UB1,UB2,UB3,Migration1,Migration2,Migration3,Migration4,Migration5
Description,,,Job brokerage / job placement,Labour market information/ statistics,Active labour market policies,Management of unemployment benefits,Administration of other benefits,Labour migration,Direct job offers/active offer of vacancies by PES staff,Placement staff uses computer-based data bank with the registered job vacancies,Placement staff uses computer-based data bank of the registered jobseekers,Self service access to job offers displayed in local offices or sub units,Self-service facilities: Internet based PES vacancies bank,Internet based PES vacancies and registered users bank;  users may themselves process and change their  profile,Systematic assessment of chances to labour market integration (profiling),If profiling is applied: profiling based only on counsellor/ placement officer’s assessment,If profiling is applied: only statistical profiling based on formal models and technical (IT) devices,If profiling is applied: Mixed type of profiling based on placement officer’s assessment supported by technical devices ,Personal job search interviews and/or assistance: information for searching and finding vacancies in PES local offices/ local agencies,Callcenter services for jobseekers,"Internet information on job search ( practical advices : cv writing , cover letter, presentation etc.)",Individual action plans/ reintegration agreements that define job search activities and targets,Direct (in-house) provision of applicants training ,Referral to externally provided applicants training,"Referral to specialised placement agencies/ providers for personalized, special services",Registration at PES office,Registration by telephone -Callcenter,Registration by telephone -through placement officer,Registration by post,Registration by email,Registration by Internet,Access to applicants data bank (incl. contact information) at PES offices,Employer has to contact the responsible PES officer to refer to the applicant,Internet access to applicants/CV data bank with applicants’ contact information,Employer can contact the applicant directly ( anymous info),Personal support services for recruitment  (eye-to-eye) contact at PES office or employer’s site,Personal support services for recruitment  by telephone -through placement officer,Personal support services for recruitment by telephone -callcenter,Personal support services for recruitment by email/online,(Pre-)selection of suitable candidates and proposal to employer by the PES staff,Computerized matching between jobseeker/ vacancy,Group information for suitable workers commissioned by employer,Targeted site visits in selected companies/ branches to raise demand and to develop specific service packages,Organization of job-fairs,Customer segmentation: different service levels/depths for different customer groups,Personal PES advice/ support in case of company crisis (e.g. employment maintenance but also organisation of lay-offs etc.), Labour market statistics at national level,Labour market statistics at regional level/units,Labour market statistics at local level/units, Labour market statistics  for the government and/or statistical institutions,Labour market information to the general through paper leaflets/ brochures, Labour market information to the general through Internet website,Labour market information to the general through Internet download options,Labour market research (beyond monitoring of labour market development),PES is a member of an employment observatory,General vocational guidance (i.e. counseling/ advice) for young people (school-to-work transition) and adults,PES/organisation itself is active as provider of vocational training measures (focus qualications/ competencies),Funding and/or referral of vocational training sessions provided by external training organisations,Work testing/ placement into temporary work trial,Self-employment schemes/business start-up,Wage cost subsidies to promote recruitment of unemployed persons,Job creation measures as additional (public) employment in restricted target areas,Employment maintenance measures (short time work schemes etc) for workers running the risk of ecomic layoff,Programmes to promote the mobility of workers,Promotion of labour market integration of young people (age < 25),Programmes for older jobseekers (> 50 y),Lone parents,Women: general employment promotion,Programmes for the disabled/ handicapped,Immigrants/ migrants,Long-term unemployed,Ethnic mirities/ aboriginal communities,Management of unemployment benefits (as a rule based on entitlements),Management of jobseekers allowances / basic income support for jobseekers (as a rule means-tested),Management of social assistance allowances or related additional allowances,Job offers abroad,Information and advice for finding jobs abroad,Assistance to foreign employers looking for migrant workers,Assistance to foreign workers already residing in the country,Assistance to migrant returnees
Subgroup,,,,,,,,,PES staff services,PES staff services,PES staff services,Self services,Self services,Self services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collection and dissemination ,Collection and dissemination ,Collection and dissemination ,Collection and dissemination ,Publication,Publication,Publication,Research,Research,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13
Benin,BJ,Africa,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Burkina Faso,BF,Africa,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No
Cameroon,CM,Africa,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Central African Republic,CF,Africa,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Chad,TD,Africa,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
Comores,KM,Africa,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
"Congo,  Democratic Republic of",CD,Africa,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Congo, République du",CG,Africa,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Gabon,GA,Africa,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Guinea,GN,Africa,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
Ivory Coast,CI,Africa,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes
Niger,NE,Africa,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
